hotel_name,rating,count
Boston Harbor Hotel,excellent,"1,279"
Boston Harbor Hotel,very good,228
Boston Harbor Hotel,average,55
Boston Harbor Hotel,poor,20
Boston Harbor Hotel,terrible,15
Boston Hotel Buckminster,excellent,303
Boston Hotel Buckminster,very good,494
Boston Hotel Buckminster,average,233
Boston Hotel Buckminster,poor,95
Boston Hotel Buckminster,terrible,96
Courtyard Boston Copley Square,excellent,"1,056"
Courtyard Boston Copley Square,very good,373
Courtyard Boston Copley Square,average,61
Courtyard Boston Copley Square,poor,16
Courtyard Boston Copley Square,terrible,15
Boston Marriott Long Wharf,excellent,897
Boston Marriott Long Wharf,very good,629
Boston Marriott Long Wharf,average,193
Boston Marriott Long Wharf,poor,78
Boston Marriott Long Wharf,terrible,32
Courtyard Boston Downtown,excellent,34
Courtyard Boston Downtown,very good,42
Courtyard Boston Downtown,average,22
Courtyard Boston Downtown,poor,7
Courtyard Boston Downtown,terrible,1
DoubleTree Club by Hilton Hotel Boston Bayside,excellent,406
DoubleTree Club by Hilton Hotel Boston Bayside,very good,466
DoubleTree Club by Hilton Hotel Boston Bayside,average,275
DoubleTree Club by Hilton Hotel Boston Bayside,poor,105
DoubleTree Club by Hilton Hotel Boston Bayside,terrible,52
"Marriott Vacation Club Pulse at Custom House, Boston",excellent,507
"Marriott Vacation Club Pulse at Custom House, Boston",very good,175
"Marriott Vacation Club Pulse at Custom House, Boston",average,13
"Marriott Vacation Club Pulse at Custom House, Boston",poor,13
"Marriott Vacation Club Pulse at Custom House, Boston",terrible,12
Seaport Boston Hotel,excellent,"3,082"
Seaport Boston Hotel,very good,733
Seaport Boston Hotel,average,130
Seaport Boston Hotel,poor,50
Seaport Boston Hotel,terrible,37
Four Seasons Hotel Boston,excellent,"1,132"
Four Seasons Hotel Boston,very good,197
Four Seasons Hotel Boston,average,53
Four Seasons Hotel Boston,poor,27
Four Seasons Hotel Boston,terrible,16
Lenox Hotel,excellent,"2,183"
Lenox Hotel,very good,549
Lenox Hotel,average,120
Lenox Hotel,poor,45
Lenox Hotel,terrible,20
InterContinental Boston,excellent,"2,113"
InterContinental Boston,very good,708
InterContinental Boston,average,173
InterContinental Boston,poor,69
InterContinental Boston,terrible,61
Hotel Commonwealth,excellent,"3,109"
Hotel Commonwealth,very good,574
Hotel Commonwealth,average,126
Hotel Commonwealth,poor,50
Hotel Commonwealth,terrible,22
"Mandarin Oriental, Boston",excellent,434
"Mandarin Oriental, Boston",very good,82
"Mandarin Oriental, Boston",average,34
"Mandarin Oriental, Boston",poor,9
"Mandarin Oriental, Boston",terrible,8
Residence Inn Boston Back Bay/Fenway,excellent,887
Residence Inn Boston Back Bay/Fenway,very good,288
Residence Inn Boston Back Bay/Fenway,average,54
Residence Inn Boston Back Bay/Fenway,poor,15
Residence Inn Boston Back Bay/Fenway,terrible,7
Eliot Hotel,excellent,669
Eliot Hotel,very good,251
Eliot Hotel,average,71
Eliot Hotel,poor,36
Eliot Hotel,terrible,24
XV Beacon,excellent,759
XV Beacon,very good,169
XV Beacon,average,37
XV Beacon,poor,30
XV Beacon,terrible,14
Residence Inn Boston Downtown/Seaport,excellent,279
Residence Inn Boston Downtown/Seaport,very good,99
Residence Inn Boston Downtown/Seaport,average,13
Residence Inn Boston Downtown/Seaport,poor,9
Residence Inn Boston Downtown/Seaport,terrible,3
Kimpton Nine Zero Hotel,excellent,"1,492"
Kimpton Nine Zero Hotel,very good,586
Kimpton Nine Zero Hotel,average,126
Kimpton Nine Zero Hotel,poor,32
Kimpton Nine Zero Hotel,terrible,26
Hilton Garden Inn Boston Logan Airport,excellent,471
Hilton Garden Inn Boston Logan Airport,very good,120
Hilton Garden Inn Boston Logan Airport,average,23
Hilton Garden Inn Boston Logan Airport,poor,8
Hilton Garden Inn Boston Logan Airport,terrible,2
The Verb Hotel,excellent,918
The Verb Hotel,very good,318
The Verb Hotel,average,74
The Verb Hotel,poor,20
The Verb Hotel,terrible,14
The Godfrey Hotel Boston,excellent,955
The Godfrey Hotel Boston,very good,309
The Godfrey Hotel Boston,average,89
The Godfrey Hotel Boston,poor,33
The Godfrey Hotel Boston,terrible,12
enVision Hotel Boston - Longwood,excellent,358
enVision Hotel Boston - Longwood,very good,137
enVision Hotel Boston - Longwood,average,32
enVision Hotel Boston - Longwood,poor,9
enVision Hotel Boston - Longwood,terrible,2
"The Langham, Boston",excellent,"1,126"
"The Langham, Boston",very good,490
"The Langham, Boston",average,142
"The Langham, Boston",poor,50
"The Langham, Boston",terrible,34
Loews Boston Hotel,excellent,781
Loews Boston Hotel,very good,345
Loews Boston Hotel,average,85
Loews Boston Hotel,poor,21
Loews Boston Hotel,terrible,8
The Boxer Boston,excellent,495
The Boxer Boston,very good,235
The Boxer Boston,average,63
The Boxer Boston,poor,16
The Boxer Boston,terrible,10
Colonnade Hotel,excellent,"1,737"
Colonnade Hotel,very good,642
Colonnade Hotel,average,196
Colonnade Hotel,poor,75
Colonnade Hotel,terrible,54
Residence Inn Boston Harbor on Tudor Wharf,excellent,422
Residence Inn Boston Harbor on Tudor Wharf,very good,256
Residence Inn Boston Harbor on Tudor Wharf,average,60
Residence Inn Boston Harbor on Tudor Wharf,poor,17
Residence Inn Boston Harbor on Tudor Wharf,terrible,6
"Fairmont Copley Plaza, Boston",excellent,"1,476"
"Fairmont Copley Plaza, Boston",very good,582
"Fairmont Copley Plaza, Boston",average,221
"Fairmont Copley Plaza, Boston",poor,96
"Fairmont Copley Plaza, Boston",terrible,43
Copley Square Hotel,excellent,763
Copley Square Hotel,very good,474
Copley Square Hotel,average,130
Copley Square Hotel,poor,38
Copley Square Hotel,terrible,21
W Boston,excellent,756
W Boston,very good,357
W Boston,average,148
W Boston,poor,68
W Boston,terrible,38
The Bostonian Boston,excellent,636
The Bostonian Boston,very good,474
The Bostonian Boston,average,145
